name,type,start_time,duration,"ack","address","read","data"
"I2C","data",2.2057605,0.0000877,true,,,0x09
"I2C","data",2.2058531,0.0000877,true,,,0x20
"I2C","data",2.2059456,0.0000877,false,,,0x69
"I2C","data",2.2060381,0.0000878,true,,,0x02
"I2C","data",2.2061307,0.0000877,true,,,0x60
"I2C","data",2.2062233,0.0000877,true,,,0x0B
"I2C","data",2.2063158,0.0000877,false,,,0x60
"I2C","data",2.2064083,0.0000877,true,,,0x09
"I2C","data",2.2065009,0.0000877,true,,,0x46
"I2C","data",2.2065934,0.0000877,true,,,0x00
"I2C","data",2.206686,0.0000877,true,,,0x43
"I2C","data",2.2067785,0.0000877,false,,,0x1E
"I2C","data",2.206871,0.0000878,true,,,0x28
"I2C","data",2.2069636,0.0000877,true,,,0x00
"I2C","data",2.2070562,0.0000877,false,,,0x28
"I2C","data",2.2071487,0.0000877,true,,,0x16
"I2C","data",2.2072413,0.0000876,true,,,0x29
"I2C","data",2.2073338,0.0000877,true,,,0x12
"I2C","data",2.2074263,0.0000877,false,,,0x29
"I2C","data",2.2075189,0.0000877,true,,,0x00
"I2C","data",2.2076115,0.0000877,true,,,0x2A
"I2C","data",2.207704,0.0000877,true,,,0x00
"I2C","data",2.2077966,0.0000876,false,,,0x2A
"I2C","data",2.2078843,0.0000822,true,,,0x80
"I2C","data",2.2079714,0.0000877,false,,,0x16
"I2C","data",2.2080639,0.0000877,true,,,0x0B
"I2C","data",2.2081564,0.0000877,false,,,0x16
"I2C","data",2.208249,0.0000877,true,,,0x89
"I2C","data",2.2083415,0.0000877,true,,,0x17
"I2C","data",2.2084341,0.0000877,true,,,0x00
"I2C","data",2.2085266,0.0041229,false,,,0x3F
"I2C","data",2.2126544,0.0000877,true,,,0x80
"I2C","data",2.2127469,0.0000877,true,,,0x01
"I2C","data",2.2128395,0.0000877,true,,,0x80
"I2C","data",2.2129321,0.0000876,false,,,0x36
"I2C","data",2.2130246,0.0000877,true,,,0x04
"I2C","data",2.2131171,0.0000877,false,,,0x35
"I2C","data",2.2132097,0.0000877,false,,,0x80
"I2C","data",2.2133022,0.0000774,false,,,0x9B
"I2C","data",2.2133845,0.0000877,true,,,0xC0
"I2C","data",2.213477,0.0000877,true,,,0x06
"I2C","data",2.2135696,0.0000877,true,,,0xD0
"I2C","data",2.2136621,0.0000877,false,,,0x07
"I2C","data",2.2137546,0.0000877,true,,,0x08
"I2C","data",2.2138472,0.0000877,true,,,0x1C
"I2C","data",2.2139397,0.0000877,false,,,0x4E
"I2C","data",2.2140323,0.0000877,true,,,0xC0
"I2C","data",2.2141248,0.0000877,true,,,0x00
"I2C","data",2.2142174,0.003765,true,,,0x1C
"I2C","data",2.2179873,0.0000877,false,,,0x02
"I2C","data",2.2180798,0.0000877,true,,,0x1C
"I2C","data",2.2181724,0.0000876,false,,,0x4E
"I2C","data",2.2182649,0.0000877,false,,,0xDC
"I2C","data",2.2183574,0.0000877,false,,,0x43
"I2C","data",2.21845,0.0000877,false,,,0xDA
"I2C","data",2.2185425,0.0000877,true,,,0xC0
"I2C","data",2.2186351,0.0000876,true,,,0xDB
"I2C","data",2.2187276,0.0000877,true,,,0x82
"I2C","data",2.2188202,0.0000876,true,,,0x1C
"I2C","data",2.2189127,0.0000877,true,,,0x00
"I2C","data",2.2190053,0.0000876,false,,,0x1F
"I2C","data",2.2190978,0.0000877,true,,,0xC0
"I2C","data",2.2191903,0.0000877,false,,,0x40
"I2C","data",2.2192828,0.0000877,true,,,0x01
"I2C","data",2.2193754,0.0022896,false,,,0x1F
"I2C","data",2.2216699,0.0000877,true,,,0xC0
